time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
93;0;0.0;0.0;4.6;749948;1732008;88;4.1;19;32;25;26;20;20;27;19;20;71;21;21;23
94;0;0.0;0.0;4.6;749948;1732008;87;3.8;19;31;32;20;19;29;19;21;22;29;37;21;30
95;0;0.0;0.0;4.6;749948;1732008;87;3.2;19;16;14;14;16;10;12;15;14;8.0;15;12;7.0
96;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.9;9.9;7.9;1.9;0.90;5.9;9.9;4.9;0.90;0.0;0.90;0.90
97;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;9.0;7.0;2.0;2.0;7.0;9.0;4.0;1.00;1.00;0.0;1.00
98;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;10;10;7.0;2.0;4.0;6.0;9.0;5.0;2.0;1.00;3.0;2.0
99;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;8.0;10;6.0;2.0;1.00;7.0;9.0;4.0;2.0;1.00;0.0;1.00
100;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.9;8.9;2.9;0.90;1.9;5.9;8.9;4.9;5.9;0.0;0.90;3.9
101;0;0.0;0.0;4.6;749948;1732008;87;2.9;19;11;11;1.9;2.9;3.9;6.9;12;5.9;8.9;2.9;2.9;2.9
102;0;0.0;0.0;4.6;749948;1732008;88;2.8;19;12;11;2.0;6.0;4.0;8.0;10;7.0;8.0;6.0;4.0;3.0
103;0;0.0;0.0;4.6;749948;1732008;88;2.8;19;11;10;2.0;2.0;5.0;7.0;10;5.0;7.0;2.0;2.0;2.0
104;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;7.9;9.9;0.90;0.90;0.90;5.9;8.9;3.9;6.9;0.90;0.0;1.9
105;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.0;10;3.0;1.00;2.0;6.0;8.0;4.0;6.0;1.00;2.0;3.0
106;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;8.9;9.9;4.9;1.9;1.9;6.9;9.9;5.9;6.9;2.9;0.90;2.9
107;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;10;10;1.00;1.00;2.0;6.0;9.0;4.0;6.0;2.0;1.00;0.0
108;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;15;13;5.9;5.9;8.9;11;14;11;9.9;5.9;6.9;4.9
109;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;7.0;11;2.0;3.0;2.0;6.0;10;6.0;6.0;2.0;3.0;2.0
110;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;7.9;9.9;0.90;0.90;1.9;5.9;7.9;4.9;5.9;1.9;2.9;1.9
111;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;9.0;10;2.0;3.0;2.0;7.0;10;5.0;7.0;6.0;2.0;3.0
112;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;7.0;10;0.0;1.00;2.0;6.0;9.0;4.0;6.0;1.00;2.0;2.0
113;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;7.9;11;1.9;0.90;4.9;5.9;8.9;4.9;6.9;2.9;2.9;2.9
114;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;9.0;10;2.0;1.00;1.00;6.0;9.0;4.0;7.0;1.00;0.0;2.0
115;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;7.9;9.9;4.9;1.9;1.9;5.9;8.9;4.9;7.9;1.9;0.90;1.9
116;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;7.9;8.9;3.9;1.9;1.9;6.9;8.9;3.9;5.9;1.9;2.9;2.9
117;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;11;5.0;1.00;1.00;6.0;8.0;5.0;6.0;1.00;3.0;3.0
118;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;7.9;11;2.9;2.9;3.9;7.9;8.9;7.9;6.9;3.9;2.9;2.9
119;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.0;10;3.0;1.00;2.0;7.0;9.0;7.0;6.0;2.0;3.0;3.0
120;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;9.9;9.9;2.9;2.9;1.9;7.9;20;5.9;6.9;1.9;1.9;1.9
121;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;14;3.0;1.00;9.0;6.0;9.0;4.0;5.0;2.0;3.0;2.0
122;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;7.9;9.9;1.9;1.9;0.90;5.9;8.9;4.9;5.9;1.9;0.90;2.9
123;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;14;16;8.9;4.9;5.9;8.9;12;6.9;9.9;9.9;5.9;7.9
124;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.0;9.0;2.0;2.0;1.00;6.0;10;5.0;8.0;2.0;2.0;2.0
125;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;10;11;6.0;2.0;1.00;6.0;11;4.0;8.0;3.0;3.0;3.0
126;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;6.9;8.9;0.90;0.90;0.90;6.9;7.9;3.9;6.9;1.9;1.9;0.90
127;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;10;1.00;1.00;0.0;5.0;9.0;4.0;6.0;2.0;3.0;2.0
128;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;8.0;10;2.0;3.0;5.0;7.0;9.0;5.0;7.0;3.0;3.0;2.0
129;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;6.9;9.9;1.9;1.9;0.90;6.9;8.9;4.9;5.9;2.9;1.9;0.90
130;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;8.0;9.0;1.00;10;1.00;6.0;9.0;5.0;7.0;2.0;2.0;2.0
131;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;7.9;9.9;1.9;2.9;0.90;4.9;7.9;3.9;5.9;1.9;1.9;0.90
132;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;9.0;1.00;1.00;2.0;6.0;9.0;5.0;6.0;1.00;1.00;1.00
133;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;8.0;10;2.0;4.0;2.0;6.0;9.0;4.0;7.0;4.0;2.0;2.0
134;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;8.9;9.9;0.90;0.90;0.90;5.9;9.9;3.9;6.9;2.9;1.9;1.9
135;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;10;2.0;1.00;1.00;6.0;9.0;4.0;6.0;1.00;2.0;2.0
136;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;7.9;9.9;0.90;5.9;0.90;5.9;8.9;4.9;5.9;1.9;0.90;1.9
137;0;0.0;0.0;4.6;749948;1732008;87;2.7;19;9.0;10;2.0;1.00;0.0;6.0;9.0;4.0;7.0;1.00;1.00;1.00
138;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.9;9.9;1.9;3.9;1.9;6.9;8.9;5.9;6.9;3.9;2.9;1.9
139;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;8.0;9.0;1.00;2.0;1.00;6.0;9.0;4.0;6.0;2.0;2.0;1.00
