time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
6620;2;3208.000000;28952.000000;12;930344;1993808;88;14;19;22;22;22;21
6621;2;55295.460938;156283.421875;12;930344;1993808;88;15;19;20;20;21;19
6622;2;171949.093750;168257.812500;12;930344;1993808;88;15;19;21;21;22;19
6623;2;48656.000000;247832.000000;12;930344;1993808;88;15;19;21;21;21;19
6624;2;42720.000000;158736.000000;12;930344;1993808;88;15;19;21;21;22;20
6625;2;260344.000000;70312.000000;12;930344;1993808;88;15;19;22;21;22;19
6626;2;14336.000000;41360.000000;12;930344;1993808;88;15;19;20;23;22;22
6627;2;3040.000000;41360.000000;12;930344;1993808;88;14;19;20;20;21;19
6628;2;2664.000000;74448.000000;12;930344;1993808;88;14;19;21;20;22;19
6629;2;3912.000000;82720.000000;12;930344;1993808;88;14;19;21;22;22;21
6630;2;3656.000000;78584.000000;12;930344;1993808;88;15;19;28;25;25;22
6631;2;147248.000000;64168.000000;12;930344;1993808;88;15;19;24;30;23;33
6632;2;120184.000000;107536.000000;12;930344;1993808;88;15;19;22;20;20;19
6633;2;6072.000000;45496.000000;12;930344;1993808;88;14;19;26;19;15;18
6634;2;11960.000000;53768.000000;12;930344;1993808;88;14;19;27;20;14;19
6635;2;21736.000000;41360.000000;12;930344;1993808;88;14;19;26;21;15;20
6636;2;397688.000000;80008.000000;12;930344;1993808;88;15;19;27;21;16;19
6637;2;18112.000000;53768.000000;12;930344;1993808;88;14;19;21;20;20;19
6638;2;6208.000000;33088.000000;12;930344;1993808;88;14;19;19;20;20;19
6639;3;10915.887695;89570.093750;12;930344;1993808;88;14;19;21;20;22;19
6640;2;771180.125000;273483.968750;12;930344;1993808;88;16;19;23;26;24;23
6641;2;3224.000000;78712.000000;12;930344;1993808;88;15;19;20;20;21;20
6642;2;2512.000000;78584.000000;12;930344;1993808;88;14;19;20;21;22;19
6643;2;528896.000000;141648.000000;12;930344;1993808;88;15;19;20;22;21;19
6644;2;145088.000000;75896.000000;12;930344;1993808;88;15;19;22;23;23;22
6645;2;631032.000000;86856.000000;12;930344;1993808;88;15;19;21;23;22;20
6646;2;324536.000000;62040.000000;12;930344;1993808;88;15;19;21;20;23;20
6647;2;253208.000000;53768.000000;12;930344;1993808;88;14;19;21;21;21;18
6648;2;25024.000000;62040.000000;12;930344;1993808;88;15;19;20;20;22;19
6649;2;312776.000000;78584.000000;12;930344;1993808;88;15;19;22;21;22;20
6650;2;314248.000000;54008.000000;12;930344;1993808;88;14;19;21;21;22;19
6651;2;2904.000000;78584.000000;12;930344;1993808;88;15;19;23;22;22;21
6652;2;3016.000000;70312.000000;12;930344;1993808;88;14;19;28;20;16;18
6653;2;6368.000000;78584.000000;12;930344;1993808;88;14;19;26;20;15;20
6654;2;4224.000000;78584.000000;12;930344;1993808;88;15;19;27;20;15;19
6655;2;224920.000000;78584.000000;12;930344;1993808;88;14;19;26;20;15;19
6656;2;3488.000000;74448.000000;12;930344;1993808;88;14;19;22;21;21;19
6657;2;4504.000000;74448.000000;12;930344;1993808;88;14;19;20;20;21;19
6658;2;447088.000000;76112.000000;12;930344;1993808;88;15;19;21;20;22;19
6659;2;8080.000000;66176.000000;12;930344;1993808;88;14;19;21;23;22;20
6660;2;3016.000000;78584.000000;12;930344;1993808;88;15;19;20;21;22;20
6661;2;3712.000000;87496.000000;12;930344;1993808;88;14;19;27;21;16;20
6662;2;3464.000000;74704.000000;12;930344;1993808;88;15;19;27;20;15;20
6663;2;2512.000000;74704.000000;12;930344;1993808;88;15;19;27;20;16;19
6664;2;7416.000000;144504.000000;12;930344;1993808;88;14;19;27;19;15;19
6665;2;2512.000000;62296.000000;12;930344;1993808;88;15;19;26;20;15;19
6666;2;2568.000000;70312.000000;12;930344;1993808;88;15;19;27;21;16;20
6667;2;3208.000000;71512.000000;12;930344;1993808;88;14;19;25;22;21;21
6668;2;3632.000000;83232.000000;12;930344;1993808;88;14;19;21;21;22;20
