time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
178;1;0.0;0.0;13;1071840;2059404;92;21;19;47;44;52;65
179;1;0.0;0.0;13;1071840;2059404;92;16;19;24;21;32;33
180;1;0.0;0.0;13;1071840;2059404;92;19;19;42;50;51;53
181;1;0.0;0.0;13;1071840;2059404;92;17;19;32;38;39;41
182;0;0.0;0.0;13;1071840;2059404;92;17;19;31;34;36;40
183;0;0.0;0.0;13;1071840;2059404;92;17;19;33;43;46;39
184;0;0.0;0.0;13;1071840;2059404;92;18;19;37;44;47;46
185;0;0.0;0.0;13;1071840;2059404;92;15;19;22;26;29;30
186;0;0.0;0.0;13;1071840;2059404;92;14;19;21;26;25;26
187;0;0.0;0.0;13;1071840;2059404;92;19;19;36;43;42;44
188;0;0.0;0.0;13;1071840;2059404;92;24;19;62;71;78;76
189;0;0.0;0.0;13;1071840;2059404;92;21;19;43;51;55;54
190;0;0.0;0.0;13;1071840;2059404;92;24;19;57;63;64;65
191;0;0.0;0.0;13;1071840;2059404;92;17;19;30;35;39;35
192;0;0.0;0.0;13;1071840;2059404;92;16;19;29;28;34;35
193;0;0.0;0.0;13;1071840;2059404;92;21;19;47;59;60;52
194;0;0.0;0.0;13;1071840;2059404;92;16;19;27;25;30;32
195;0;0.0;0.0;13;1071840;2059404;92;18;19;41;50;47;47
196;0;0.0;0.0;13;1071840;2059404;92;18;19;41;46;50;49
197;0;0.0;0.0;13;1071840;2059404;92;16;19;31;26;33;38
198;0;0.0;0.0;13;1071840;2059404;92;17;19;33;49;41;42
199;0;0.0;0.0;13;1071840;2059404;92;17;19;37;40;47;46
200;0;0.0;0.0;13;1071840;2059404;92;15;19;24;25;26;31
201;0;0.0;0.0;13;1071840;2059404;92;20;19;42;46;50;53
202;0;0.0;0.0;13;1071840;2059404;92;23;19;49;54;62;56
203;0;0.0;0.0;13;1071840;2059404;92;26;19;73;70;72;67
204;0;0.0;0.0;13;1071840;2059404;92;19;19;45;37;39;43
205;0;0.0;0.0;13;1071840;2059404;92;16;19;27;25;28;36
206;0;0.0;0.0;13;1071840;2059404;92;14;19;22;16;21;29
207;0;0.0;0.0;13;1071840;2059404;92;17;19;42;31;33;41
208;0;0.0;0.0;13;1071840;2059404;92;22;19;64;69;48;62
209;0;0.0;0.0;13;1071840;2059404;92;28;19;70;64;58;67
210;0;0.0;0.0;13;1071840;2059404;92;17;19;36;30;30;40
211;0;0.0;0.0;13;1071840;2059404;92;19;19;48;40;41;47
212;0;0.0;0.0;13;1071840;2059404;92;18;19;43;37;35;44
213;0;0.0;0.0;13;1071840;2059404;92;20;19;45;46;41;50
214;0;0.0;0.0;13;1071840;2059404;92;29;19;70;63;61;71
215;0;0.0;0.0;13;1071840;2059404;92;26;19;72;79;78;80
216;0;0.0;0.0;13;1071840;2059404;92;24;19;66;68;61;69
217;0;0.0;0.0;13;1071840;2059404;92;24;19;61;58;57;66
218;0;0.0;0.0;13;1071840;2059404;92;25;19;71;64;71;70
219;0;0.0;0.0;13;1071840;2059404;92;29;19;71;68;65;68
220;0;0.0;0.0;13;1071840;2059404;92;26;19;57;57;50;61
221;0;0.0;0.0;13;1071840;2059404;92;24;19;54;57;46;57
222;0;0.0;0.0;13;1071840;2059404;92;26;19;63;60;62;64
223;0;0.0;0.0;13;1071840;2059404;92;25;19;63;60;53;67
224;0;0.0;0.0;13;1071840;2059404;92;23;19;57;55;52;58
225;0;0.0;0.0;13;1071840;2059404;92;27;19;71;74;62;74
226;0;0.0;0.0;13;1071840;2059404;92;26;19;78;74;70;74
227;0;0.0;0.0;13;1071840;2059404;92;23;19;62;54;49;59
228;0;0.0;0.0;13;1071840;2059404;92;23;19;62;59;55;78
229;0;0.0;0.0;13;1071840;2059404;92;25;19;63;63;59;64
230;0;0.0;0.0;13;1071840;2059404;92;26;19;53;54;52;61
231;0;0.0;0.0;13;1071840;2059404;92;25;19;62;57;54;58
232;0;0.0;0.0;13;1071840;2059404;92;16;19;36;32;28;30
233;0;0.0;0.0;13;1071840;2059404;92;19;19;50;50;41;61
234;0;0.0;0.0;13;1071840;2059404;92;15;19;34;31;29;35
235;0;0.0;0.0;13;1071840;2059404;92;15;19;27;31;26;33
236;0;0.0;0.0;13;1071840;2059404;92;18;19;64;43;43;46
237;0;0.0;0.0;13;1071840;2059404;92;16;19;34;34;28;39
238;0;0.0;0.0;13;1071840;2059404;92;21;19;63;65;48;83
239;0;0.0;0.0;13;1071840;2059404;92;19;19;48;49;40;51
240;0;0.0;0.0;13;1071840;2059404;92;15;19;28;22;24;31
241;0;0.0;0.0;13;1071840;2059404;92;15;19;38;27;28;37
242;1;943770.687500;1222138.875000;13;1071840;2059404;92;20;19;48;45;41;52
243;1;8827.585938;15080.459961;13;1071840;2059404;92;21;19;57;47;42;53
244;1;669744.000000;553624.000000;13;1071840;2059404;92;24;19;52;51;48;54
245;1;140072.000000;27968.000000;13;1071840;2059404;92;22;19;57;54;48;55
246;1;56;4136.000000;13;1071840;2059404;92;22;19;54;47;45;52
247;1;56;4136.000000;13;1071840;2059404;92;26;19;60;57;57;61
248;1;0.0;0.0;13;1071840;2059404;92;23;19;64;51;54;55
249;1;0.0;0.0;13;1071840;2059404;92;16;19;28;26;25;25
250;1;0.0;0.0;13;1071840;2059404;92;18;19;41;42;35;43
251;1;0.0;0.0;13;1071840;2059404;92;15;19;26;20;23;37
252;1;0.0;0.0;13;1071840;2059404;92;14;19;21;17;21;28
253;1;0.0;0.0;13;1071840;2059404;92;21;19;53;59;44;58
254;1;0.0;0.0;13;1071840;2059404;92;16;19;33;29;28;35
255;1;0.0;0.0;13;1071840;2059404;92;21;19;51;45;40;49
256;1;0.0;0.0;13;1071840;2059404;92;22;19;71;67;57;64
257;1;0.0;0.0;13;1071840;2059404;92;21;19;51;51;44;62
258;1;0.0;0.0;13;1071840;2059404;92;20;19;45;51;36;50
259;1;0.0;0.0;13;1071840;2059404;92;19;19;43;43;36;42
260;1;0.0;0.0;13;1071840;2059404;92;28;19;65;64;57;69
261;1;0.0;0.0;13;1071840;2059404;92;27;19;67;65;59;69
262;1;0.0;0.0;13;1071840;2059404;92;26;19;72;65;63;75
263;1;0.0;0.0;13;1071840;2059404;92;25;19;67;61;55;67
264;1;0.0;0.0;13;1071840;2059404;92;27;19;68;66;61;72
265;1;0.0;0.0;13;1071840;2059404;92;25;19;54;52;48;54
266;1;0.0;0.0;13;1071840;2059404;92;18;19;36;39;39;43
267;1;0.0;0.0;13;1071840;2059404;92;16;19;33;32;34;34
268;1;0.0;0.0;13;1071840;2059404;92;20;19;43;45;41;57
269;1;0.0;0.0;13;1071840;2059404;92;16;19;34;33;33;35
270;1;0.0;0.0;13;1071840;2059404;92;17;19;35;36;36;44
271;1;0.0;0.0;13;1071840;2059404;92;18;19;43;43;43;58
272;1;0.0;0.0;13;1071840;2059404;92;19;19;47;42;47;44
273;1;0.0;0.0;13;1071840;2059404;92;20;19;48;54;48;58
274;1;0.0;0.0;13;1071840;2059404;92;18;19;43;38;36;42
275;1;0.0;0.0;13;1071840;2059404;92;14;19;12;23;18;29
276;1;0.0;0.0;13;1071840;2059404;92;15;19;41;30;27;36
277;1;0.0;0.0;13;1071840;2059404;92;15;19;32;31;26;36
278;0;0.0;0.0;13;1071840;2059404;92;16;19;40;36;33;41
279;0;0.0;0.0;13;1071840;2059404;92;17;19;46;41;40;46
280;0;0.0;0.0;13;1071840;2059404;92;14;19;23;22;26;27
281;0;0.0;0.0;13;1071840;2059404;92;22;19;54;48;46;53
282;0;0.0;0.0;13;1071840;2059404;92;22;19;61;50;48;49
283;0;0.0;0.0;13;1071840;2059404;92;22;19;56;64;56;66
284;0;0.0;0.0;13;1071840;2059404;92;20;19;55;54;54;57
285;0;0.0;0.0;13;1071840;2059404;92;26;19;73;72;67;80
286;0;0.0;0.0;13;1071840;2059404;92;26;19;74;72;74;80
287;0;0.0;0.0;13;1071840;2059404;91;28;19;87;88;89;94
288;0;0.0;0.0;13;1071840;2059404;91;25;19;66;68;70;68
289;0;0.0;0.0;13;1071840;2059404;91;26;19;70;72;70;66
290;0;0.0;0.0;13;1071840;2059404;91;27;19;51;56;60;53
